"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","470uF - 35V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C2","1","100uF - 35V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C4","1","0.1uf 15V","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C5","1","0.1uf 20V","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"D1","1","KBU6B","","","","Diode_THT:Diode_Bridge_Vishay_KBU","http://www.vishay.com/docs/88656/kbu6.pdf"
"D2,D3,D4,D5","4","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"J1,J2,J3,J4,J5,J6,J7,J8","8","Conn_01x02","","","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",""
"J9","1","out_super_cap_brd","","","","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"L1","1","L-CD54-330","","","","Inductor_SMD:L_Bourns-SRN6028",""
"Q1,Q2,Q3,Q4","4","BSS138","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1","1","2.2k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"U1","1","XIAO-ESP32-C3-DIP","","","","xiao_library:XIAO-ESP32-C3-DIP",""
"U2","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U3","1","TLE5206-2G","","","","tle5206library:DPAK127P1500X440-8N",""
